x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,f(x),laplacian,biharmonic,model,input_dim,output_dim,hidden_dim,num_layers,activation,precision
0.60576403,0.7990441,-0.908927,,,,,,,,-0.8231402635574341,1.3699897527694702,-5.000944137573242,MLP,3,1,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-0.8231402635574341,1.3699897527694702,-5.000944137573242,MLP,3,1,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,-0.22413545846939087,0.0,0.0,MLP,3,1,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-0.22413545846939087,0.0,0.0,MLP,3,1,64,4,relu,float64
0.60576403,0.7990441,-0.908927,,,,,,,,-0.21363072097301483,-0.6263721585273743,8.340254783630371,MLP,3,3,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-0.21363072097301483,-0.6263721585273743,8.340254783630371,MLP,3,3,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,-0.4568158686161041,0.0,0.0,MLP,3,3,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-0.4568158686161041,0.0,0.0,MLP,3,3,64,4,relu,float64
0.60576403,0.7990441,-0.908927,,,,,,,,0.9352073669433594,-1.32413911819458,-6.404836654663086,MLP,3,10,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,0.9352073669433594,-1.32413911819458,-6.404836654663086,MLP,3,10,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,0.0893445760011673,0.0,0.0,MLP,3,10,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,0.0893445760011673,0.0,0.0,MLP,3,10,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.06854930520057678,-0.5105335116386414,4.871091842651367,MLP,10,1,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.06854930520057678,-0.5105335116386414,4.871091842651367,MLP,10,1,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.17675195634365082,0.0,0.0,MLP,10,1,64,4,relu,float32
