framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
jax,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.04959583282470703,1.3699896335601807,0.0,0.005415916442871094,0.008867025375366211
jax,MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.04942178726196289,1.3699896335601807,0.0,0.005415916442871094,0.008867025375366211
jax,MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.6237528324127197,1.2277657985687256,0.020227619239676642,0.005415916442871094,0.008867025375366211
jax,MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.3871638774871826,0.2729325592517853,1.2035342242900962,0.005415916442871094,0.008867025375366211
jax,MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.543720006942749,-4.9613142013549805,0.0,0.0060999393463134766,0.010493040084838867
jax,MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.5869710445404053,-4.9613142013549805,0.0,0.0060999393463134766,0.010493040084838867
jax,MLP,3,64,4,tanh,float32,biharmonic,forward_forward,2.078752040863037,1.05387544631958,36.182506497491204,0.0060999393463134766,0.010493040084838867
jax,MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,1.461219072341919,1.053875207901001,36.18250362922532,0.0060999393463134766,0.010493040084838867
jax,MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.05305814743041992,0.0,0.0,0.005706071853637695,0.010313987731933594
jax,MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.052160024642944336,0.0,0.0,0.005706071853637695,0.010313987731933594
jax,MLP,3,64,4,relu,float32,laplacian,forward_forward,0.23821306228637695,0.0,0.0,0.005706071853637695,0.010313987731933594
jax,MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.09725403785705566,0.0,0.0,0.005706071853637695,0.010313987731933594
jax,MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.4314737319946289,0.0,0.0,0.005582094192504883,0.010076761245727539
