framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
pytorch,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.0004811286926269531,-0.010118859820067883,0.0,6.198883056640625e-05,8.106231689453125e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.0004458427429199219,-0.010118859820067883,0.0,6.198883056640625e-05,8.106231689453125e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.0006966590881347656,-0.010118859820067883,0.0,6.198883056640625e-05,8.106231689453125e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.0007178783416748047,-0.010118859820067883,0.0,6.198883056640625e-05,8.106231689453125e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.006090879440307617,0.005063400138169527,0.0,4.601478576660156e-05,6.794929504394531e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.006326913833618164,0.005063400138169527,0.0,4.601478576660156e-05,6.794929504394531e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.008857965469360352,0.005063406657427549,4.2500725161431774e-17,4.601478576660156e-05,6.794929504394531e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.010506153106689453,0.005063406657427549,4.2500725161431774e-17,4.601478576660156e-05,6.794929504394531e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.0004420280456542969,0.0,0.0,4.792213439941406e-05,6.818771362304688e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.0005109310150146484,0.0,0.0,4.792213439941406e-05,6.818771362304688e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,forward_forward,0.0007219314575195312,0.0,0.0,4.792213439941406e-05,6.818771362304688e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.0007338523864746094,0.0,0.0,4.792213439941406e-05,6.818771362304688e-05
