framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
pytorch,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.0005331834157307943,-0.010118859820067883,0.0,6.731351216634114e-05,9.703636169433594e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.0004912217458089193,-0.010118859820067883,0.0,6.731351216634114e-05,9.703636169433594e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.0007422765096028646,-0.010118859820067883,0.0,6.731351216634114e-05,9.703636169433594e-05
pytorch,MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.0007710456848144531,-0.010118859820067883,0.0,6.731351216634114e-05,9.703636169433594e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.0060418446858723955,0.005063400138169527,0.0,5.1021575927734375e-05,7.200241088867188e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.006297906239827474,0.005063400138169527,0.0,5.1021575927734375e-05,7.200241088867188e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.00887282689412435,0.005063406657427549,4.2500725161431774e-17,5.1021575927734375e-05,7.200241088867188e-05
pytorch,MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.009063323338826498,0.005063406657427549,4.2500725161431774e-17,5.1021575927734375e-05,7.200241088867188e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.0004391670227050781,0.0,0.0,4.8001607259114586e-05,6.604194641113281e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.0004304250081380208,0.0,0.0,4.8001607259114586e-05,6.604194641113281e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,forward_forward,0.0006707509358723959,0.0,0.0,4.8001607259114586e-05,6.604194641113281e-05
pytorch,MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.0006812413533528646,0.0,0.0,4.8001607259114586e-05,6.604194641113281e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.0009895960489908855,0.0,0.0,5.165735880533854e-05,6.906191507975261e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.0009633700052897135,0.0,0.0,5.165735880533854e-05,6.906191507975261e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.0018134117126464844,0.0,0.0,5.165735880533854e-05,6.906191507975261e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.0018286705017089844,0.0,0.0,5.165735880533854e-05,6.906191507975261e-05
pytorch,MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.001272281010945638,0.03708108887076378,0.0,8.20159912109375e-05,0.0001209576924641927
pytorch,MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.0012243588765462239,0.03708108887076378,0.0,8.20159912109375e-05,0.0001209576924641927
pytorch,MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.002296288808186849,0.03708108887076378,0.0,8.20159912109375e-05,0.0001209576924641927
pytorch,MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.0024417241414388022,0.03708108887076378,0.0,8.20159912109375e-05,0.0001209576924641927
pytorch,MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.053672472635904946,0.0008407062850892544,0.0,5.1975250244140625e-05,7.454554239908855e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,reverse_forward,0.055681069691975914,0.0008407062850892544,0.0,5.1975250244140625e-05,7.454554239908855e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,forward_forward,0.09134960174560547,0.0008407093118876219,9.161508357502512e-18,5.1975250244140625e-05,7.454554239908855e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,forward_reverse,0.09495973587036133,0.0008407093118876219,9.161508357502512e-18,5.1975250244140625e-05,7.454554239908855e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.001161654790242513,0.0,0.0,6.635983784993489e-05,9.099642435709636e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,reverse_forward,0.0010846455891927083,0.0,0.0,6.635983784993489e-05,9.099642435709636e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,forward_forward,0.0021561781565348306,0.0,0.0,6.635983784993489e-05,9.099642435709636e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,forward_reverse,0.002257664998372396,0.0,0.0,6.635983784993489e-05,9.099642435709636e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.0027922789255777993,0.0,0.0,4.696846008300781e-05,6.739298502604167e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,reverse_forward,0.0028226375579833984,0.0,0.0,4.696846008300781e-05,6.739298502604167e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,forward_forward,0.011876583099365234,0.0,0.0,4.696846008300781e-05,6.739298502604167e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,forward_reverse,0.012378215789794922,0.0,0.0,4.696846008300781e-05,6.739298502604167e-05
pytorch,MLP,50,64,4,tanh,float32,laplacian,reverse_reverse,0.005659739176432292,0.00034849008079618216,0.0,8.996327718098958e-05,0.00015362103780110678
pytorch,MLP,50,64,4,tanh,float32,laplacian,reverse_forward,0.00566562016805013,0.00034849008079618216,0.0,8.996327718098958e-05,0.00015362103780110678
pytorch,MLP,50,64,4,tanh,float32,laplacian,forward_forward,0.011983394622802734,0.00034849008079618216,0.0,8.996327718098958e-05,0.00015362103780110678
pytorch,MLP,50,64,4,tanh,float32,laplacian,forward_reverse,0.012266715367635092,0.00034849008079618216,0.0,8.996327718098958e-05,0.00015362103780110678
pytorch,MLP,50,64,4,tanh,float32,biharmonic,reverse_reverse,1.4028597672780354,0.09800911694765091,0.0,6.230672200520833e-05,9.338061014811198e-05
pytorch,MLP,50,64,4,tanh,float32,biharmonic,reverse_forward,1.5380176703135173,0.09800911694765091,0.0,6.230672200520833e-05,9.338061014811198e-05
pytorch,MLP,50,64,4,tanh,float32,biharmonic,forward_forward,3.123097817103068,0.0980091243982315,5.551115123125783e-17,6.230672200520833e-05,9.338061014811198e-05
pytorch,MLP,50,64,4,tanh,float32,biharmonic,forward_reverse,2.690829356511434,0.0980091243982315,5.551115123125783e-17,6.230672200520833e-05,9.338061014811198e-05
pytorch,MLP,50,64,4,relu,float32,laplacian,reverse_reverse,0.005461692810058594,0.0,0.0,7.994969685872395e-05,0.00010840098063151042
pytorch,MLP,50,64,4,relu,float32,laplacian,reverse_forward,0.005224784215291341,0.0,0.0,7.994969685872395e-05,0.00010840098063151042
pytorch,MLP,50,64,4,relu,float32,laplacian,forward_forward,0.011222918828328451,0.0,0.0,7.994969685872395e-05,0.00010840098063151042
pytorch,MLP,50,64,4,relu,float32,laplacian,forward_reverse,0.011260112126668295,0.0,0.0,7.994969685872395e-05,0.00010840098063151042
pytorch,MLP,50,64,4,relu,float32,biharmonic,reverse_reverse,0.012846628824869791,0.0,0.0,5.205472310384115e-05,7.955233256022136e-05
