model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time,framework
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.2686045169830322,0.028087283795078594,,,,jax
MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.15925963719685873,0.028087276654938858,9.76360196395613e-16,,,jax
MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.09789180755615234,0.02808726578950882,4.637494092444664e-16,,,jax
MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.1264786720275879,0.02808728627860546,3.4231876592608995e-16,,,jax
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.9226420720418295,-0.11617775758107503,,,,jax
MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,1.0190829435984294,-0.11617776999870937,1.27675647831893e-15,,,jax
MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.3804175853729248,-0.11617776130636533,4.6721885619642e-16,,,jax
MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.7456231117248535,-0.11617778489987056,9.80697005085555e-16,,,jax
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.13638798395792642,0.0,,,,jax
MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.1157072385152181,0.0,0.0,,,jax
MLP,3,64,4,relu,float32,laplacian,forward_forward,0.10118317604064941,0.0,0.0,,,jax
MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.0954580307006836,0.0,0.0,,,jax
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.1506960391998291,0.0,,,,jax
MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.18104187647501627,0.0,0.0,,,jax
MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.17893735567728677,0.0,0.0,,,jax
MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.2792214552561442,0.0,0.0,,,jax
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.1921823819478353,-0.30153562128543854,,,,jax
MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.19376047452290854,-0.3015355517466863,8.585724723767877e-15,,,jax
MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.12997968991597494,-0.30153560141722363,5.921189464667501e-16,,,jax
MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.1782235304514567,-0.30153560638427734,1.2582527612418441e-15,,,jax
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.9640185832977295,1.314530889193217,,,,jax
MLP,10,64,4,tanh,float32,biharmonic,reverse_forward,1.0154685974121094,1.3145309587319691,1.924386576016938e-14,,,jax
MLP,10,64,4,tanh,float32,biharmonic,forward_forward,0.39849281311035156,1.3145309487978618,9.592326932761353e-14,,,jax
MLP,10,64,4,tanh,float32,biharmonic,forward_reverse,0.7293112277984619,1.3145309686660767,9.473903143468003e-14,,,jax
MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.05116192499796549,0.0,,,,jax
MLP,10,64,4,relu,float32,laplacian,reverse_forward,0.09158937136332194,0.0,0.0,,,jax
MLP,10,64,4,relu,float32,laplacian,forward_forward,0.07942461967468262,0.0,0.0,,,jax
MLP,10,64,4,relu,float32,laplacian,forward_reverse,0.07551066080729167,0.0,0.0,,,jax
MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.0793604056040446,0.0,,,,jax
MLP,10,64,4,relu,float32,biharmonic,reverse_forward,0.11992414792378743,0.0,0.0,,,jax
MLP,10,64,4,relu,float32,biharmonic,forward_forward,0.13967410723368326,0.0,0.0,,,jax
MLP,10,64,4,relu,float32,biharmonic,forward_reverse,0.21707741419474283,0.0,0.0,,,jax
ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.09438506762186687,0.23890105138222376,,,,jax
ResNet,3,64,4,tanh,float32,laplacian,reverse_forward,0.05885450045267741,0.23890108366807303,1.177021443273437e-13,,,jax
ResNet,3,64,4,tanh,float32,laplacian,forward_forward,0.03527220090230306,0.2389008750518163,1.0630385460785874e-13,,,jax
ResNet,3,64,4,tanh,float32,laplacian,forward_reverse,0.06486018498738606,0.23890098184347153,6.18764299057754e-14,,,jax
ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.4324980576833089,-0.06086357434590658,,,,jax
ResNet,3,64,4,tanh,float32,biharmonic,reverse_forward,0.21421138445536295,-0.060864011446634926,1.4447702293788704e-12,,,jax
ResNet,3,64,4,tanh,float32,biharmonic,forward_forward,0.10987639427185059,-0.06086329619089762,1.5631940186722204e-13,,,jax
ResNet,3,64,4,tanh,float32,biharmonic,forward_reverse,0.25585198402404785,-0.06086230278015137,2.8800665556142726e-12,,,jax
ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.06252574920654297,0.0,,,,jax
ResNet,3,64,4,relu,float32,laplacian,reverse_forward,0.055336952209472656,0.0,0.0,,,jax
ResNet,3,64,4,relu,float32,laplacian,forward_forward,0.060890515645345054,0.0,0.0,,,jax
ResNet,3,64,4,relu,float32,laplacian,forward_reverse,0.07129438718159993,0.0,0.0,,,jax
ResNet,3,64,4,relu,float32,biharmonic,reverse_reverse,0.12308446566263835,0.0,,,,jax
ResNet,3,64,4,relu,float32,biharmonic,reverse_forward,0.11681604385375977,0.0,0.0,,,jax
ResNet,3,64,4,relu,float32,biharmonic,forward_forward,0.12620981534322104,0.0,0.0,,,jax
ResNet,3,64,4,relu,float32,biharmonic,forward_reverse,0.15612244606018066,0.0,0.0,,,jax
ResNet,10,64,4,tanh,float32,laplacian,reverse_reverse,0.06546982129414876,-0.6637470920880636,,,,jax
ResNet,10,64,4,tanh,float32,laplacian,reverse_forward,0.04974897702534994,-0.6637473106384277,1.5276668818842154e-13,,,jax
ResNet,10,64,4,tanh,float32,laplacian,forward_forward,0.0322106679280599,-0.6637471119562784,3.434289889507151e-14,,,jax
ResNet,10,64,4,tanh,float32,laplacian,forward_reverse,0.060220956802368164,-0.6637470722198486,1.0658141036401503e-14,,,jax
ResNet,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.3848116397857666,9.6230518023173,,,,jax
ResNet,10,64,4,tanh,float32,biharmonic,reverse_forward,0.23683500289916992,9.623054345448812,1.167184867275258e-11,,,jax
ResNet,10,64,4,tanh,float32,biharmonic,forward_forward,0.1340035597483317,9.623053391774496,1.1065518871570626e-11,,,jax
ResNet,10,64,4,tanh,float32,biharmonic,forward_reverse,0.24840378761291504,9.623052914937338,5.229594535194337e-12,,,jax
ResNet,10,64,4,relu,float32,laplacian,reverse_reverse,0.1330393155415853,0.0,,,,jax
ResNet,10,64,4,relu,float32,laplacian,reverse_forward,0.11470262209574382,0.0,0.0,,,jax
ResNet,10,64,4,relu,float32,laplacian,forward_forward,0.12316473325093587,0.0,0.0,,,jax
ResNet,10,64,4,relu,float32,laplacian,forward_reverse,0.14042019844055176,0.0,0.0,,,jax
ResNet,10,64,4,relu,float32,biharmonic,reverse_reverse,0.26219574610392254,0.0,,,,jax
ResNet,10,64,4,relu,float32,biharmonic,reverse_forward,0.25702881813049316,0.0,0.0,,,jax
ResNet,10,64,4,relu,float32,biharmonic,forward_forward,0.27647026379903156,0.0,0.0,,,jax
ResNet,10,64,4,relu,float32,biharmonic,forward_reverse,0.3457490603129069,0.0,0.0,,,jax
