model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.2616708278656006,-0.17270368337631226,0.0,,
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.1332533359527588,0.41598108410835266,0.0,,
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.13308072090148926,0.15973225235939026,0.0,,
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.3988466262817383,0.8277170658111572,0.0,,
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.36188435554504395,0.5503086447715759,0.0,,
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.36681270599365234,-0.10445941984653473,0.0,,
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.14257192611694336,0.0,0.0,,
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.13137340545654297,0.0,0.0,,
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.14452481269836426,0.0,0.0,,
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.14409375190734863,0.0,0.0,,
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.156996488571167,0.0,0.0,,
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.147139310836792,0.0,0.0,,
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.1912829875946045,-0.05428273230791092,0.0,,
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.20775461196899414,-0.07789136469364166,0.0,,
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.20162034034729004,-0.39637839794158936,0.0,,
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,2.380269765853882,0.39277103543281555,0.0,,
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,2.6958730220794678,1.1204032897949219,0.0,,
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,2.4204471111297607,0.7934148907661438,0.0,,
MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.1990499496459961,0.0,0.0,,
MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.18680047988891602,0.0,0.0,,
MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.24328827857971191,0.0,0.0,,
MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.34098291397094727,0.0,0.0,,
MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.3553166389465332,0.0,0.0,,
MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.3738245964050293,0.0,0.0,,
MLP,50,64,4,tanh,float32,laplacian,reverse_reverse,0.6279609203338623,0.45650801062583923,0.0,,
MLP,50,64,4,tanh,float32,laplacian,reverse_reverse,0.345836877822876,0.022659605368971825,0.0,,
MLP,50,64,4,tanh,float32,laplacian,reverse_reverse,0.5786240100860596,0.39814746379852295,0.0,,
MLP,50,64,4,tanh,float32,biharmonic,reverse_reverse,67.25117707252502,0.8997873067855835,0.0,,
MLP,50,64,4,tanh,float32,biharmonic,reverse_reverse,43.50672125816345,-0.15317890048027039,0.0,,
MLP,50,64,4,tanh,float32,biharmonic,reverse_reverse,51.58062791824341,1.0575319528579712,0.0,,
MLP,50,64,4,relu,float32,laplacian,reverse_reverse,0.41054654121398926,0.0,0.0,,
MLP,50,64,4,relu,float32,laplacian,reverse_reverse,0.36337757110595703,0.0,0.0,,
MLP,50,64,4,relu,float32,laplacian,reverse_reverse,0.5296285152435303,0.0,0.0,,
MLP,50,64,4,relu,float32,biharmonic,reverse_reverse,1.1453473567962646,0.0,0.0,,
MLP,50,64,4,relu,float32,biharmonic,reverse_reverse,1.297487735748291,0.0,0.0,,
MLP,50,64,4,relu,float32,biharmonic,reverse_reverse,1.634108066558838,0.0,0.0,,
ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.1810133457183838,-1.1678493022918701,0.0,,
ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.22539901733398438,-0.23767007887363434,0.0,,
ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.19309663772583008,-0.6594561338424683,0.0,,
ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,1.1500191688537598,8.331965446472168,0.0,,
ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,1.1323328018188477,5.999161720275879,0.0,,
ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,1.0350773334503174,8.953193664550781,0.0,,
ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.18576860427856445,0.0,0.0,,
ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.16320228576660156,0.0,0.0,,
ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.17041873931884766,0.0,0.0,,
ResNet,3,64,4,relu,float32,biharmonic,reverse_reverse,0.27259206771850586,0.0,0.0,,
ResNet,3,64,4,relu,float32,biharmonic,reverse_reverse,0.2542836666107178,0.0,0.0,,
ResNet,3,64,4,relu,float32,biharmonic,reverse_reverse,0.29547119140625,0.0,0.0,,
ResNet,10,64,4,tanh,float32,laplacian,reverse_reverse,0.3506653308868408,2.770998477935791,0.0,,
ResNet,10,64,4,tanh,float32,laplacian,reverse_reverse,0.29754042625427246,-0.27213960886001587,0.0,,
ResNet,10,64,4,tanh,float32,laplacian,reverse_reverse,0.26853418350219727,-1.6865034103393555,0.0,,
