model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.0023572444915771484,-0.010118862614035606,0.0,0.0013322035471598308,0.0
MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.0024040540059407554,-0.010118862614035606,0.0,0.0013322035471598308,0.0
MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.003712733586629232,-0.010118862614035606,0.0,0.0013322035471598308,0.0
MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.0030690828959147134,-0.010118862614035606,0.0,0.0013322035471598308,0.0
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.027408361434936523,0.005063406191766262,0.0,0.00032011667887369793,0.00033473968505859375
MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.027555386225382488,0.005063406191766262,0.0,0.00032011667887369793,0.00033473968505859375
MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.03853321075439453,0.005063404329121113,3.469446951953614e-18,0.00032011667887369793,0.00033473968505859375
MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.03740922609965006,0.005063404329121113,3.469446951953614e-18,0.00032011667887369793,0.00033473968505859375
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.00199739138285319,0.0,0.0,0.00033322970072428387,0.0003199577331542969
MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.0020640691121419272,0.0,0.0,0.00033322970072428387,0.0003199577331542969
MLP,3,64,4,relu,float32,laplacian,forward_forward,0.0033213297526041665,0.0,0.0,0.00033322970072428387,0.0003199577331542969
MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.003337860107421875,0.0,0.0,0.00033322970072428387,0.0003199577331542969
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.004004081090291341,0.0,0.0,0.0,0.0
MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.004016876220703125,0.0,0.0,0.0,0.0
MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.008004903793334961,0.0,0.0,0.0,0.0
MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.007196505864461263,0.0,0.0,0.0,0.0
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.005141258239746094,0.037081100046634674,0.0,0.0,0.0003344217936197917
MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.0050856272379557295,0.037081100046634674,0.0,0.0,0.0003344217936197917
MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.01082626978556315,0.037081100046634674,0.0,0.0,0.0003344217936197917
MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.00981601079305013,0.037081100046634674,0.0,0.0,0.0003344217936197917
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.21063335736592612,0.0008407300338149071,0.0,0.0006679693857828776,0.0
