framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
tensorflow,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.015635013580322266,0.010610333643853664,0.0,0.02672719955444336,0.0004811286926269531
tensorflow,MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.012386798858642578,0.010610333643853664,0.0,0.02672719955444336,0.0004811286926269531
tensorflow,MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.03032708168029785,0.010610333643853664,0.0,0.02672719955444336,0.0004811286926269531
tensorflow,MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.029107093811035156,0.010610333643853664,0.0,0.02672719955444336,0.0004811286926269531
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.0730280876159668,-1.4507551193237305,0.0,0.019349098205566406,0.00015807151794433594
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.06844902038574219,-1.4507551193237305,0.0,0.019349098205566406,0.00015807151794433594
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.08565187454223633,-1.4507551193237305,0.0,0.019349098205566406,0.00015807151794433594
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.08439898490905762,-1.4507551193237305,0.0,0.019349098205566406,0.00015807151794433594
tensorflow,MLP,3,64,4,tanh,float64,laplacian,reverse_reverse,0.01715087890625,-0.14646437391638756,0.0,0.02539801597595215,0.00043702125549316406
tensorflow,MLP,3,64,4,tanh,float64,laplacian,reverse_forward,0.012090682983398438,-0.14646437391638756,0.0,0.02539801597595215,0.00043702125549316406
tensorflow,MLP,3,64,4,tanh,float64,laplacian,forward_forward,0.028719186782836914,-0.14646437391638756,0.0,0.02539801597595215,0.00043702125549316406
tensorflow,MLP,3,64,4,tanh,float64,laplacian,forward_reverse,0.028360843658447266,-0.14646437391638756,0.0,0.02539801597595215,0.00043702125549316406
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,reverse_reverse,0.07010030746459961,-0.4738943502306938,0.0,0.018622875213623047,0.00013709068298339844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,reverse_forward,0.06910586357116699,-0.4738943502306938,0.0,0.018622875213623047,0.00013709068298339844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,forward_forward,0.08436203002929688,-0.4738943502306938,0.0,0.018622875213623047,0.00013709068298339844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,forward_reverse,0.08374691009521484,-0.4738943502306938,0.0,0.018622875213623047,0.00013709068298339844
tensorflow,MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.01489400863647461,0.0,0.0,0.0246737003326416,0.0004260540008544922
tensorflow,MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.010820150375366211,0.0,0.0,0.0246737003326416,0.0004260540008544922
tensorflow,MLP,3,64,4,relu,float32,laplacian,forward_forward,0.02604508399963379,0.0,0.0,0.0246737003326416,0.0004260540008544922
tensorflow,MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.025839805603027344,0.0,0.0,0.0246737003326416,0.0004260540008544922
tensorflow,MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.024023056030273438,0.0,0.0,0.018692731857299805,0.0001468658447265625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.02255105972290039,0.0,0.0,0.018692731857299805,0.0001468658447265625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.039324045181274414,0.0,0.0,0.018692731857299805,0.0001468658447265625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.03917407989501953,0.0,0.0,0.018692731857299805,0.0001468658447265625
tensorflow,MLP,3,64,4,relu,float64,laplacian,reverse_reverse,0.016604900360107422,0.0,0.0,0.025281906127929688,0.00043892860412597656
tensorflow,MLP,3,64,4,relu,float64,laplacian,reverse_forward,0.011215925216674805,0.0,0.0,0.025281906127929688,0.00043892860412597656
tensorflow,MLP,3,64,4,relu,float64,laplacian,forward_forward,0.028538227081298828,0.0,0.0,0.025281906127929688,0.00043892860412597656
tensorflow,MLP,3,64,4,relu,float64,laplacian,forward_reverse,0.027322053909301758,0.0,0.0,0.025281906127929688,0.00043892860412597656
tensorflow,MLP,3,64,4,relu,float64,biharmonic,reverse_reverse,0.02465510368347168,0.0,0.0,0.018898725509643555,0.0001461505889892578
